No. Teeth ,Thickness cm,Name,Keyway Allowable Torque Nm,Bore Option 1 mm,Bore Option 2 mm,Weight 1 Kg,Weight 2 Kg,Pitch Diameter,Lewis Form Factor
15,2,15_2,73.1,12,15,0.12,0.1,30,0.289
18,2,18_2,97.2,12,15,0.19,0.17,36,0.308
20,2,20_2,114,15,18,0.22,0.2,40,0.32
24,2,24_2,148,15,18,0.32,0.3,48,0.337
25,2,25_2,157,16,20,0.33,0.31,50,0.34
30,2,30_2,201,18,22,0.48,0.45,60,0.358
35,2,35_2,246,18,22,0.64,0.61,70,0.373
36,2,36_2,255,18,22,0.67,0.64,72,0.377
40,2,40_2,292,20,25,0.84,0.79,80,0.389
45,2,45_2,114,20,25,1.05,1,90,0.399
48,2,48_2,349,22,28,1.2,1.14,96,0.405
50,2,50_2,367,22,28,1.29,1.24,100,0.408
55,2,55_2,412,25,30,1.56,1.51,110,0.415
60,2,60_2,457,25,30,1.84,1.79,120,0.421
70,2,70_2,547,25,30,2.48,2.43,140,0.429
80,2,80_2,610,30,35,2.55,2.49,160,0.436
100,2,100_2,785,35,40,4.16,4.09,200,0.446
15,3,15_3,247,18,22,0.4,0.35,45,0.289
18,3,18_3,328,20,25,0.61,0.54,54,0.308
20,3,20_3,384,20,25,0.74,0.67,60,0.32
24,3,24_3,499,20,25,0.103,0.96,72,0.337
25,3,25_3,528,25,30,1.14,1.06,75,0.34
30,3,30_3,677,28,35,1.6,1.48,90,0.358
35,3,35_3,790,30,35,2.11,2.02,105,0.374
36,3,36_3,820,30,35,2.23,2.14,108,0.377
40,3,40_3,938,30,40,2.86,2.66,120,0.389
45,3,45_3,1090,30,40,3.57,3.37,135,0.399
48,3,48_3,1180,35,40,3.94,3.83,144,0.405
50,3,50_3,1240,32,40,3.79,3.62,150,0.408
55,3,55_3,1330,35,40,4.39,4.29,165,0.415
60,3,60_3,1470,35,45,5.31,5.08,180,0.421
15,2.5,15_2.5,143,15,18,0.23,0.2,37.5,0.289
18,2.5,18_2.5,190,18,20,0.34,0.32,45,0.308
20,2.5,20_2.5,222,18,22,0.42,0.39,50,0.32
24,2.5,24_2.5,289,18,22,0.59,0.56,60,0.337
25,2.5,25_2.5,306,20,25,0.66,0.6,62.5,0.3405
30,2.5,30_2.5,392,22,28,0.94,0.87,75,0.358
35,2.5,35_2.5,480,25,30,1.25,1.19,87.5,0.3735
36,2.5,36_2.5,498,25,30,1.32,1.26,90,0.377
40,2.5,40_2.5,543,25,32,1.61,1.52,100,0.389
45,2.5,45_2.5,629,30,35,2,1.93,112.5,0.399
48,2.5,48_2.5,681,30,35,2.27,2.2,120,0.4044
50,2.5,50_2.5,716,30,35,2.46,2.39,125,0.408
55,2.5,55_2.5,804,30,40,3.06,2.9,137.5,0.415
60,2.5,60_2.5,892,30,40,3.62,3.45,150,0.421
70,2.5,70_2.5,1020,40,50,4.24,4.03,175,0.429
15,1.5,15_1.5,30.8,10,10,0.05,0.05,22.5,0.289
18,1.5,18_1.5,41,10,12,0.08,0.074,27,0.308
20,1.5,20_1.5,48,12,15,0.098,0.085,30,0.32
24,1.5,24_1.5,62.4,12,15,0.14,0.13,36,0.337
25,1.5,25_1.5,66,14,16,0.15,0.14,37.5,0.3405
30,1.5,30_1.5,84.7,15,18,0.21,0.19,45,0.358
35,1.5,35_1.5,104,15,18,0.28,0.26,52.5,0.3735
36,1.5,36_1.5,108,15,18,0.3,0.28,54,0.377
40,1.5,40_1.5,123,16,20,0.37,0.34,60,0.389
45,1.5,45_1.5,143,16,20,0.48,0.46,67.5,0.399
48,1.5,48_1.5,155,16,20,0.54,0.51,72,0.4044
50,1.5,50_1.5,162,18,22,0.57,0.54,75,0.408
55,1.5,55_1.5,182,20,25,0.69,0.65,82.5,0.415
60,1.5,60_1.5,202,20,25,0.81,0.77,90,0.421
70,1.5,70_1.5,231,20,25,1.08,1.04,105,0.429
80,1.5,80_1.5,270,20,25,1.39,1.36,120,0.436
100,1.5,100_1.5,347,25,30,2.13,2.09,150,0.446
18,1,18_1,12.1,8,8,0.02,0.02,18,0.308
20,1,20_1,14.2,8,10,0.027,0.023,20,0.32
24,1,24_1,18.5,10,12,0.038,0.034,24,0.337
25,1,25_1,19.6,10,12,0.041,0.037,25,0.3405
30,1,30_1,25.1,10,12,0.065,0.061,30,0.358
35,1,35_1,30.7,10,15,0.085,0.073,35,0.3735
36,1,36_1,31.9,12,15,0.085,0.077,36,0.377
40,1,40_1,36.5,12,15,0.11,0.1,40,0.389
45,1,45_1,42.3,12,15,0.14,0.13,45,0.399
48,1,48_1,45.8,12,15,0.16,0.15,48,0.402
50,1,50_1,48.1,12,15,0.18,0.17,50,0.408
55,1,55_1,54,15,20,0.26,0.23,55,0.415
60,1,60_1,59.9,15,20,0.29,0.27,60,0.421
70,1,70_1,71.9,20,25,0.37,0.35,70,0.429
80,1,80_!,83.9,20,25,0.47,0.44,80,0.436
100,1,100_1,103,20,25,0.69,0.66,100,0.446